q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
301	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Only a little	Not too fair	Some	Not at all	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
302	Satisfied	Disapprove	Only now and then	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Some	Very fair	Some	Some	A lot	Some	A lot	Increasing influence	Unfriendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A little
303	Dissatisfied	Disapprove	Only now and then	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	(VOL) Other/Depends	A lot	Some	Only a little	Not too fair	Some	Some	Not too much	Not too much	A lot	Losing influence	Friendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not too well	A lot
304	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	Some	Not fair at all	Not too much	Not at all	A lot	Not too much	A lot	(VOL) Don't know/Refused	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
305	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	(VOL) Other/Depends	A lot	A lot	None at all	Not fair at all	Some	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
306	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	(VOL) Neither/Both equally	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Never fair game	Only a little	Some	Only a little	Not fair at all	A lot	A lot	A lot	A lot	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
307	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #1	Statement #2	Strongly favor	Sometimes fair game [OR IS IT]	Some	A lot	Only a little	Moderately fair	Some	Some	A lot	Not too much	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A lot
308	Satisfied	Approve	Hardly at all	Basically content	Just about always	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	None at all	None at all	None at all	Very fair	Not at all	Not at all	Some	Not at all	Some	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	Nothing at all
309	Dissatisfied	Disapprove	Only now and then	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	Some	Not too fair	Not at all	Not too much	Not too much	Not at all	Some	Increasing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
310	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not too fair	A lot	Some	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
311	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	None at all	Not too fair	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	(VOL) Don't know/Refused	Disapprove	Very well	A lot
312	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	None at all	Not fair at all	Not at all	A lot	A lot	Some	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
313	Satisfied	Approve	Some of the time	Basically content	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #2	Statement #2	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Only a little	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot	A lot	Some	A lot	Increasing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Nothing at all
314	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	Only a little	Not fair at all	A lot	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
315	Satisfied	Approve	Most of the time	Basically content	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	None at all	Not too fair	Not at all	A lot	A lot	Not at all	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
316	Dissatisfied	Disapprove	Hardly at all	Frustrated	Only some of the time	No, not keeping promises	(VOL) Neither/Both equally	Statement #1	Statement #1	(VOL) Neither/Both equally	(VOL) Neither/Both equally	Oppose	Never fair game	A lot	A lot	A lot	Not too fair	A lot	Some	Some	Some	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Nothing at all
317	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #2	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	Some	Moderately fair	A lot	A lot	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
318	Satisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	None at all	Not fair at all	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
319	(VOL) Don't know/Refused	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Favor	(VOL) Other/Depends	Some	Some	A lot	Very fair	Some	Some	Not at all	A lot	Not too much	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
320	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Moderately fair	Not at all	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
321	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #1	Statement #1	(VOL) Don't know/Refused	Statement #1	Statement #2	Oppose	Never fair game	A lot	Only a little	Only a little	Not fair at all	A lot	A lot	A lot	Not too much	A lot	Losing influence	Neutral toward religion	Friendly toward religion	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Disapprove	Not at all well	A lot
322	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	Some	Only a little	Not fair at all	Not at all	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
323	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	Sometimes fair game [OR IS IT]	None at all	Only a little	Some	Not fair at all	A lot	A lot	Not too much	Not too much	Not too much	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
324	Dissatisfied	Approve	Hardly at all	(VOL) Don't know/Refused	(VOL) Never	No, not keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #2	(VOL) Neither/Both equally	Statement #2	Strongly oppose	Never fair game	A lot	(VOL) Don't know/Refused	A lot	Not fair at all	Not at all	Not at all	Not at all	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
325	(VOL) Don't know/Refused	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #1	Statement #2	Oppose	Never fair game	A lot	Some	Only a little	Moderately fair	Not too much	Not too much	A lot	Not at all	Not too much	Losing influence	(VOL) Don't know/Refused	Friendly toward religion	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Somewhat well	A lot
326	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Oppose	Never fair game	Some	Some	A lot	Moderately fair	Not too much	Some	Not at all	A lot	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
327	Satisfied	Disapprove	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Some	Some	None at all	Moderately fair	Not too much	Not too much	Some	Not at all	Some	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
328	Satisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Some	Some	Only a little	Moderately fair	Not too much	Some	Not too much	Some	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
329	Satisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly oppose	Never fair game	A lot	Some	Some	Moderately fair	A lot	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not too well	A lot
330	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Some	Some	Some	Moderately fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
